,AGSTATS_ID,Action,Info Source,Donor,Implementer,Country (recipient),"Type of Support (Global, Regional, National)",Region,Yr Start,Yr Finish,Budget (USD),Project Title,Project Type,allocated_country,project_symbol,baby (0 = parent),GS/VoH/CARD
89,54,ok,"FAO, PRESS",FAO,FAO,"Bangladesh, Laos, Myanmar,  Nepal, Philippines, Timor-Leste ",Regional,Asia & Pacific,2013,2015,"450,000",Building statistical capacity for quality food security and nutrition information in support of better informed policies,Capacity Development,1,TCP/RAS/3409,NA,0
4,55,ok,PRESS ,Netherlands,Netherlands,Burundi,National,Africa,2013,2015,"445,994",ENQUETE AGRICOLE (ENAB) ,Data Collection,1,NA,NA,0
7,56,ok,FAO,FAO,FAO,Cameroon,National,Africa,2014,2016,"443,000",Assistance preparatoire au Recensement General de  l`Agriculture et de l`Elevage (RGAE),Data Collection,1,TCP/CMR/3501,NA,0
47,57,ok,FAO,FAO,FAO,Tunisia,National,Africa,2015,2017,"401,000",Assistance preparatoire au recensement de l`agriculture,Data Collection,1,TCP/TUN/3503,NA,0
,58,added 07/03,FAO,France,FAO,Global,Global,Global,2011,2015,"400,000",Développement d`une banque de données sur les écosystèmes marins vulnérables en haute mer,Information System,0,GCP /GLO/309/FRA,NA,0
43,59,ok,FAO,FAO,FAO,Sudan,National,Africa,2012,2015,"398,000",Technical Support for Comprehensive Agricultural Census in the Sudan,Data Collection,1,TCP/SUD/3402,NA,0
,60,added 07/03,FAO,FAO,FAO,"Benin, Cote d`Ivoire, Ghana, Nigeria, Togo, Liberia  ",Regional,Africa,2015,2017,"393,000","Strengthening routine fisheries data collection in West Africa: Benin, Cote d`Ivoire, Ghana, Nigeria, Togo, Liberia and Fisheries Committee for West-Central Gulf of Guinea (FCWC)",Data Collection,1,TCP/RAF/3512,NA,NA
,61,ok,FAO,FAO,FAO,Mauritania,National,Africa,2013,2015,"391,000","Enhancing Capacity for Agricultural Data & Statistics, Food Security and Information Systems and Coordination Mechanisms in Mauritania",Capacity Development,1,TCP/MAU/3403,NA,0
17,62,ok,FAO,FAO,FAO,Comoros,National,Africa,2015,2017,"390,000",Assistance preparatoire au Recensement General de  l'Agriculture (RGA),Data Collection,1,TCP/COI/3503,NA,0
38,63,ok,"FAO, PRESS",FAO,FAO,Senegal,National,Africa,2014,2015,"377,000",Assistance preparatoire au Recensement National de l`Agriculture II,Data Collection,1,TCP/SEN/3404,NA,0
26,64,ok,"FAO, PRESS",FAO,FAO,Ghana,National,Africa,2014,2015,"372,000",Implementation of the preparatory phase of the Agricultural Census of Ghana,Data Collection,1,TCP/GHA/3403,NA,0
12,65,ok,FAO,EU,FAO,Chad,National,Africa,2014,2015,"366,847",Appui a l'amelioration de l'impact des interventions humanitaires dans le secteur de la securite alimentaire au Tchad par l'animation efficace du groupe sectoriel et le renforcement de capacites d'action des membres,Capacity Development,1,OSRO/CHD/403/EC,NA,0
22,66,ok,FAO,FAO,FAO,Cote d'Ivoire,National,Africa,2013,2015,"366,000",Assistance preparatoire au Recensement des Exploitants et des Exploitations Agricoles (REEA),Data Collection,1,TCP/IVC/3403,NA,0
81,67,ok,FAO,FAO,FAO,Philippines,National,Asia & Pacific,2012,2015,"366,000",Establishment of the Philippine Food Security Information System (PHIL-FSIS),Information System ,1,TCP/PHI/3401,NA,0
45,68,ok,FAO,FAO,FAO,Tanzania,National,Africa,2015,2017,"366,000",Support to the Implementation of Agriculture Statistics Strategic Plan: Improving the reliability of Crop forecasting data,Capacity Development,1,TCP/URT/3504,NA,0
57,69,ok,FAO,FAO,FAO,Bangladesh,National,Asia & Pacific,2012,2015,"354,000",Harmonisation and Dissemination of Unified Agricultural Production Statistics in Bangladesh,Capacity Development ,1,TCP/BGD/3401,NA,0
84,70,ok,FAO,FAO,FAO,Samoa,National,Asia & Pacific,2014,2016,"351,000",Improving the capacity for evidence-based policy monitoring and development,Capacity Development,1,TCP/SAM/3502,NA,0
91,71,ok,FAO,FAO,FAO,Tonga,National,Asia & Pacific,2014,2015,"346,000",National Agriculture Census,Data Collection,1,TCP/TON/3403,NA,0
30,72,ok,FAO,FAO,FAO,Mali,National,Africa,2014,2016,"344,000",Projet d`appui a la preparation du Recensement General de l`Agriculture couple avec celui de l`Elevage au Mali,Data Collection,1,TCP/MLI/3501,NA,0
